"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGB3BP",0.00257840659781517,0.417252088278954,0.311,0.238,1
"PPP3R1",0.00258599664776959,0.477941429000243,0.263,0.193,1
"MCU",0.00261598565131745,-0.361488121909404,0.474,0.525,1
"PPP2R2A",0.00267526062452934,0.455941445588437,0.337,0.268,1
"NFIC",0.00271174767274671,0.327597605338867,0.363,0.285,1
"HIP1",0.00283767046267674,-0.358348280423199,0.291,0.359,1
"H2AFV",0.00299496429875532,0.256576605363756,0.674,0.594,1
"CACNA2D1",0.00301191587391826,-0.45905368091121,0.263,0.333,1
"CCND3",0.00303771458847517,-0.394960914106394,0.208,0.279,1
"CYB5B",0.00305694050656484,-0.418457380703688,0.257,0.327,1
"NCOA3",0.0031057813189217,-0.292748136534109,0.64,0.693,1
"LYRM2",0.00329356920141598,-0.493428977511066,0.209,0.272,1
"PFKP",0.0033469134956123,0.267455962986615,0.519,0.444,1
"ZMAT2",0.00364844110256421,0.346739264548185,0.504,0.441,1
"BMPR2",0.00373423983161232,0.414396672054129,0.382,0.305,1
"PAFAH1B2",0.00382158469903276,0.499545786281132,0.269,0.204,1
"MYL12A",0.00389324361630743,0.309487959020874,0.517,0.435,1
"RBM27",0.00396128181944151,0.376245572354617,0.39,0.317,1
"NUB1",0.00401794298151696,0.319949911044144,0.358,0.289,1
"YTHDC1",0.00406707864090597,0.395620382641727,0.413,0.337,1
"PSMD10",0.00411718397684505,0.461352975922355,0.342,0.28,1
"FBXO21",0.00414243063720844,0.428953949392968,0.318,0.252,1
"PNN",0.00418664170049389,0.322141901024331,0.464,0.384,1
"GCLC",0.00421351585085427,-0.35337654642709,0.342,0.413,1
"DENND5B",0.00422208739894829,-0.371908735859855,0.378,0.441,1
"ABL2",0.00427554093074526,0.31733834858888,0.256,0.186,1
"ANTXR1",0.00428839932445456,0.296871826054121,0.515,0.43,1
"CEMIP2",0.00432888681907201,0.459327174451808,0.275,0.209,1
"FRA10AC1",0.00438866651345053,0.527788116945386,0.256,0.195,1
"JAG1",0.00447351228466796,0.447440234619146,0.317,0.243,1
"CD99",0.0046766078817093,-0.333579829979131,0.464,0.517,1
"CLTB",0.00471051303933968,-0.510498632055202,0.205,0.263,1
"BAZ1B",0.00481984192357945,0.343542358828017,0.5,0.423,1
